Column1,Column2,,,
AA,452,,Region,Sales
AE,5495,,AA,452
AK,581996,,AE,5495
AL,264483,,AK,581996
AP,960,,AL,264483
AR,128308,,AP,960
AS,300,,AR,128308
AZ,1278020,,AS,300
CA,7030245,,AZ,1278020
CO,769038,,CA,7030245
CT,1267760,,CO,769038
DC,1245706,,CT,1267760
DE,145099,,DC,1245706
FL,7210064,,DE,145099
FM,125,,FL,7210064
GA,1772679,,FM,125
GU,16633,,GA,1772679
HI,211498,,GU,16633
IA,305451,,HI,211498
ID,124832,,IA,305451
IL,1611714,,ID,124832
IN,492981,,IL,1611714
KS,368487,,IN,492981
KY,306759,,KS,368487
LA,445670,,KY,306759
MA,2743866,,LA,445670
MD,1057489,,MA,2743866
ME,152758,,MD,1057489
MH,75,,ME,152758
MI,1782798,,MH,75
MN,1291397,,MI,1782798
MO,1382297,,MN,1291397
MP,25,,MO,1382297
MS,205729,,MP,25
MT,114089,,MS,205729
NC,1462039,,MT,114089
ND,37801,,NC,1462039
NE,296465,,ND,37801
NH,1126916,,NE,296465
NJ,1311689,,NH,1126916
NM,306408,,NJ,1311689
NOT PROVIDED,100483,,NM,306408
NV,396786,,NOT PROVIDED,100483
NY,9440213,,NV,396786
OH,939933,,NY,9440213
OK,992548,,OH,939933
OR,1462500,,OK,992548
PA,1376755,,OR,1462500
PR,52846,,PA,1376755
RI,401833,,PR,52846
SC,276395,,RI,401833
SD,93237,,SC,276395
TN,1194891,,SD,93237
TX,66412060,,TN,1194891
UT,253469,,TX,2412060
VA,1829224,,UT,253469
VI,21589,,VA,1829224
VT,218449,,VI,21589
WA,2135471,,VT,218449
WI,1179458,,WA,2135471
WV,42242,,WI,1179458
WY,442623,,WV,42242
ZZ,27842,,WY,442623
,,,ZZ,27842
