_id,_labels,description,imp,name,_start,_end,_type,name,_id_new,_start_new,_end_new
3,:Content,,common,File类,,,,,203,,
4,:Content,,common,文件字节输入、输出流,,,,,204,,
7,:Content,,common,文件字符输入、输出流,,,,,207,,
8,:Content,,common,缓冲流,,,,,208,,
9,:Content,,common,随机流,,,,,209,,
12,:Content,,common,地位,,,,,212,,
13,:Content,,common,诞生,,,,,213,,
14,:Content,,common,特点,,,,,214,,
15,:Content,,common,JDK安装,,,,,215,,
16,:Content,,common,简单程序,,,,,216,,
17,:Content,,common,编程风格,,,,,217,,
34,:Content,,common,数组流,,,,,234,,
35,:Content,,common,数据流,,,,,235,,
44,:Content,,common,对象流,,,,,244,,
45,:Content,,common,序列化与对象克隆,,,,,245,,
49,:Content,"8种基本数据类型习惯上可分为以下四大类型：
逻辑类型：boolean
整数类型：byte、short、int、long
字符类型：char
浮点类型：float、double ",common,基本数据类型,,,,,249,,
50,:Content,,common,使用Scanner解析文件,,,,,250,,
63,:Content,,common,文件锁,,,,,263,,
67,:Content,数组是相同类型的数据按顺序组成的一种复合数据类型。通过数组名加数组下标，来使用数组中的数据。下标从0开始排序。,common,数组,,,,,267,,
75,:Content,应用举例,common,数组的应用,,,,,275,,
76,:Content,,common,标识符和关键字,,,,,276,,
81,:Content,,common,类型转换,,,,,281,,
82,:Content,从命令行输入与输出数据,common,输入与输出,,,,,282,,
84,:Content,,common,子类与父类,,,,,284,,
85,:Content,类可以有两种重要的成员：成员变量和方法。子类的成员中有一部分是子类自己声明定义的，另一部分是从它的父类继承的。 所谓子类继承父类的成员变量就是把继承来的变量作为自己的一个成员变量，就好象它们是在子类中直接声明一样，可以被子类中自己定义的任何实例方法操作。所谓子类继承父类的方法就是把继承来的方法作为子类中的一个方法，就好象它们是在子类中直接定义了一样，可以被子类中自己定义的任何实例方法调用。,common,子类的继承性,,,,,285,,
86,:Content,类继承了父类的很多东西，那么子类在创建对象的时候，他又是怎么生成自己的对象的呢。子类生成的对象会有哪些东西呢。,common,子类与对象,,,,,286,,
87,:Content,,common,成员变量的隐藏和方法重写,,,,,287,,
88,:Content,,common,super关键字,,,,,288,,
89,:Content,,common,final关键字,,,,,289,,
90,:Content,,common,对象的上转型对象,,,,,290,,
91,:Content,,common,继承与多态,,,,,291,,
92,:Content,,common,abstract类与abstract方法,,,,,292,,
93,:Content,,common,面向抽象编程,,,,,293,,
94,:Content,,common,开闭原则,,,,,294,,
122,:Content,,common,接口,,,,,322,,
123,:Content,,common,实现接口,,,,,323,,
124,:Content,,common,理解接口,,,,,324,,
125,:Content,,common,接口回调,,,,,325,,
126,:Content,,common,接口与多态,,,,,326,,
127,:Content,,common,接口变量作参数,,,,,327,,
128,:Content,,common,面向接口编程,,,,,328,,
137,:Content,,common,接口的UML图,,,,,337,,
138,:Content,,common,abstract类与接口的比较,,,,,338,,
154,:Content,,common,文件对话框,,,,,354,,
