_start,_end,_type,name,_id_new,_start_new,_end_new
3,10,Content_Of,知识点10.1,,203,210
4,10,Content_Of,知识点10.2,,204,210
7,10,Content_Of,知识点10.3,,207,210
8,10,Content_Of,知识点10.4,,208,210
9,10,Content_Of,知识点10.5,,209,210
34,10,Content_Of,知识点10.6,,234,210
35,10,Content_Of,知识点10.7,,235,210
44,10,Content_Of,知识点10.8,,244,210
45,10,Content_Of,知识点10.9,,245,210
50,10,Content_Of,知识点10.10,,250,210
63,10,Content_Of,知识点10.11,,263,210
96,7,Knowledge_Of,知识点10.3.1,,296,207
156,9,Knowledge_Of,知识点10.5.1,,356,209
98,3,Knowledge_Of,知识点10.1.1,,298,203
134,3,Knowledge_Of,知识点10.1.2,,334,203
142,3,Knowledge_Of,知识点10.1.3,,342,203
143,3,Knowledge_Of,知识点10.1.4,,343,203
144,4,Knowledge_Of,知识点10.2.1,,344,204
145,4,Knowledge_Of,知识点10.2.2,,345,204
146,4,Knowledge_Of,知识点10.2.3,,346,204
97,3,Knowledge_Of,知识点10.1.5,,297,203
147,8,Knowledge_Of,知识点10.4.1,,347,208
148,35,Knowledge_Of,知识点10.7.1,,348,235
149,44,Knowledge_Of,知识点10.8.1,,349,244
150,45,Knowledge_Of,知识点10.9.1,,350,245
151,50,Knowledge_Of,知识点10.10.1,,351,250
152,50,Knowledge_Of,知识点10.10.2,,352,250
153,63,Knowledge_Of,知识点10.11.1,,353,263
154,10,Content_Of,知识点10.12,,354,210
155,154,Knowledge_Of,知识点10.12.1,,355,354
157,34,Knowledge_Of,知识点10.6.1,,357,234
5,0,ChapterOf,第五章,,205,200
6,0,ChapterOf,第六章,,206,200
10,0,ChapterOf,第十章,,210,200
11,0,ChapterOf,第一章,,211,200
1,0,ChapterOf,第二章,,201,200
75,1,Content_Of,知识点2.6,,275,201
12,11,Content_Of,知识点1.1,,212,211
13,11,Content_Of,知识点1.2,,213,211
14,11,Content_Of,知识点1.3,,214,211
15,11,Content_Of,知识点1.4,,215,211
16,11,Content_Of,知识点1.5,,216,211
17,11,Content_Of,知识点1.6,,217,211
49,1,Content_Of,知识点2.2,,249,201
67,1,Content_Of,知识点2.5,,267,201
76,1,Content_Of,知识点2.1,,276,201
81,1,Content_Of,知识点2.3,,281,201
82,1,Content_Of,知识点2.4,,282,201
84,5,Content_Of,知识点5.1,,284,205
85,5,Content_Of,知识点5.2,,285,205
86,5,Content_Of,知识点5.3,,286,205
87,5,Content_Of,知识点5.4,,287,205
88,5,Content_Of,知识点5.5,,288,205
89,5,Content_Of,知识点5.6,,289,205
90,5,Content_Of,知识点5.7,,290,205
91,5,Content_Of,知识点5.8,,291,205
92,5,Content_Of,知识点5.9,,292,205
93,5,Content_Of,知识点5.10,,293,205
94,5,Content_Of,知识点5.11,,294,205
18,12,Knowledge_Of,知识点1.1.1,,218,212
19,12,Knowledge_Of,知识点1.1.2,,219,212
