_id:id,_labels:label,Name,description,feature,_start:id,_end:id,_type:label,name
714,:Content,语句概述,,common,,,,
715,:Content,if条件分支语句,,common,,,,
716,:Content,switch开关语句,,common,,,,
717,:Content,循环语句,,common,,,,
718,:Content,break和continue语句,,common,,,,
719,:Content,for语句与数组,,common,,,,
720,:Content,运算符与表达式,,common,,,,
721,:Content,String类,,common,,,,
722,:Content,StringTokenizer类 ,,common,,,,
723,:Content,Scanner类,,common,,,,
724,:Content,Date与Calendar类,,common,,,,
725,:Content,Calendar类,,common,,,,
726,:Content,日期的格式化,,common,,,,
727,:Content,Math、BigInteger和Random类,,common,,,,
728,:Content,数字格式化,,common,,,,
729,:Content,StringBuffer类,,common,,,,
730,:Content,Pattern与Matcher类,,common,,,,
731,:Content,Class类,,common,,,,
732,:Content,内部类,,common,,,,
733,:Content,匿名类,,common,,,,
734,:Content,异常类,,key,,,,
735,:Content,断言,,common,,,,
736,:Content,Microsoft Access 数据库管理系统 ,,common,,,,
737,:Content,JDBC,,common,,,,
738,:Content,连接数据库 ,,common,,,,
739,:Content,查询操作,,common,,,,
740,:Content,更新、添加与删除操作,,common,,,,
741,:Content,使用预处理语句,,common,,,,
742,:Content,事务,,common,,,,
743,:Content,批处理,,key,,,,
744,:Content,CachedRowSetImpl类,,common,,,,
