_labels:label,Name,description,feature,_start:id,_end:id
745,:Knowledge,Date类,"Date()使用Date类的无参数构造方法创建的对象可以获取本地当前时间,Date(long time)使用long型参数创建指定的时间,System类的静态方法 public long currentTimeMillis() 获取系统当前时间",key,
746,:Knowledge,使用Class实例化一个对象,步骤如下：（1）使用Class的类方法得到一个和某类（参数className指定的类）相关的Class对象：public static Class forName(String className) throws ClassNotFoundException上述方法返回一个和参数className指定的类相关的Class对象。 （2）步骤（1）中获得的Class对象调用 public Object newInstance() throws InstantiationExceptionIllegalAccessException 方法就可以得到一个className类的对象。,common,
747,:Knowledge,顺序查询,,key,
748,:Knowledge,使用默认分隔标记解析字符串,创建Scanner对象，并将要解析的字符串传递给所构造的对象,key,
749,:Knowledge,if语句,if语句是单条件分支语句，即根据一个条件来控制程序执行的流程。,key,
750,:Knowledge,异常的声明,在产生异常的方法名后面加上要抛出(throws)的异常的列表,key,
751,:Knowledge,控制游标 ,需要在结果集中前后移动、显示结果集指定的一条记录或随机显示若干条记录等。这时，必须要返回一个可滚动的结果集。,key,
752,:Knowledge,switch开关语句,switch 语句是单条件多分支的开关语句,key,
753,:Knowledge,排序查询,可以在SQL语句中使用ORDER BY子语句对记录排序，例如，按price排序查询的SQL语句：SELECT * FROM goods ORDER BY price,key,
754,:Knowledge,建立连接,编写连接数据库代码不会出现数据库的名称，只能出现数据源的名字。 首先使用java.sql包中的Connection类声明一个对象，然后再使用类DriverManager调用它的静态方法getConnection创建这个连接对象，建立连接时应捕获SQLException异常 ,key,
755,:Knowledge,字符串与字符数组,字符串与字符数组String 类的构造方法：String(char[])；String(char[]，int offset，int length)分别用字符数组中的全部字符和部分字符创建字符串对象 ，String类提供了将字符串存放到数组中的方法：， public void getChars(int start int end char c[] int offset ) ，将字符串中的全部字符存放在一个字符数组中的方，public char[] toCharArray() 字符串与字节数组 ，String(byte[])用指定的字节数组构造一个字符串对象。，String(byte[]，int offset，int length) 用指定的字节数组的一部分，即从数组起始位置offset开始取length个字节构造一个字符串对象。public byte[] getBytes() 方法使用平台默认的字符编码，将当前字符串转化为一个字节数组。public byte[] getBytes(String charsetName) 使用参数指定字符编码，将当前字符串转化为一个字节数组。,key,
756,:Knowledge,Statement对象调用方法,public int executeUpdate（String sqlStatement）;,common,
757,:Knowledge,对象的字符串表示,Object类有一个public String toString()方法，一个对象通过调用该方法可以获得该对象的字符串表示。,key,
758,:Knowledge,Class类常用类方法,String getName() 返回类的名字◆ Constructor[] getDeclaredConstructors()  返回类的全部构造方法。◆ Field[] getDeclaredFields()  返回类的全部成员变量。◆ Method[] getDeclaredMethods()  返回类的全部方法。,common,
759,:Knowledge,String 类的常用方法,1．public int length():获取一个字符串的长度 2．public boolean equals(String s):比较当前字符串对象的实体是否与参数s指定的字符串的实体相同  例题1  说明了equals的用法。3．public boolean startsWith(String s)public boolean endsWith(String s方法:判断当前字符串对象的前缀（后缀）是否参数s指定的字符串  4. public int compareTo(String s):按字典序与参数s指定的字符串比较大小 5.public boolean contains(String s):判断当前字符串对象是否含有参数指定的字符串s 6.public int indexOf (String s):从当前字符串的头开始检索字符串s，并返回首次出现s的位置其相关方法： indexOf(String s int startpoint)lastIndexOf (String s)7. public String substring(int startpoint):获得一个当前字符串的子串  8．public String trim() :得到一个s去掉前后空格后的字符串对象。,key,
760,:Knowledge,语句概述,方法调用语句：如：System.out.println(" Hello");表达式语句：表达式尾加上分号。比如赋值语句：x=23;复合语句：可以用{  }把一些语句括起来构成复合语句，  空语句：一个分号也是一条语句，称做空语句。控制语句：控制语句分为条件分支语句、开关（switch)语句和循环语句。package语句和 import语句：它们和类、对象有关,key,
761,:Knowledge,连接方式的选择,使用JDBC─ODBC桥接器连接数据库的3个步骤(1)建立JDBC-ODBC桥接器(2)建ODBC数据源(3)和ODBC数据源建立连接,common,
762,:Knowledge,while 循环,while语句的语法格式： while (表达式) {若干语句 }while语句的执行规则是：(1)计算表达式的值如果该值是true时，就进行(2)否则执行(3)。 (2)执行循环体，再进行(1)。 (3)结束while语句的执行。,key,
763,:Knowledge,StringBuffer类的常用方法,1) StringBuffer append(String s):将一个字符串对象追加到当前StringBuffer对象中 StringBuffer append(int n)：将一个int型数据转化为字符串对象后再追加到当前StringBuffer对象中  StringBuffer append(Object o)：将一个Object对象的字符串表示追加到当前StringBuffer对象中 2)public char charAt(int n ):得到参数n指定的置上的单个字符 ：public void setCharAt(int n char ch):将当前StringBuffer对象实体中的字符串位置n处的字符用参数ch指定的字符替换3)StringBuffer insert(int index String str) :将参数str指定的字符串插入到参数index指定的位置 4)public StringBuffer reverse() :将该对象实体中的字符翻转5)StringBuffer delete(int startIndex int endIndex):从当前StringBuffer对象实体中的字符串中删除一个子字符串 ,common,
764,:Knowledge,赋值运算符,=,key,
765,:Knowledge,JDBC事务处理步骤,1．使用setAutoCommit(boolean autoCommit)方法 2．使用commit()方法 3．使用rollback()方法 ,common,
766,:Knowledge,和子类有关的匿名类,创建子类对象时，除了使用父类的构造方法外还有类体，此类体被认为是一个子类去掉类声明后的类体，称作匿名类。 ,common,
767,:Knowledge,break和continue语句,如果在某次循环中执行了break语句，那么整个循环语句就结束。如果在某次循环中执行了continue语句，那么本次循环就结束，即不再执行本次循环中循环体中continue语句后面的语句，而转入进行下一次循环。,key,
768,:Knowledge,得到匹配对象,模式对象pattern调用matcher(CharSequence input)方法返回一个Matcher对象matcher，称为匹配对象 Matcher matcher = pattern.matcher(input); Matcher对象matcher可以使用下列方法寻找字符串input中是否有和模式regex匹配的子序列（regex是创建模式对象pattern时使用的正则表达式）。public boolean find():寻找input和regex匹配的下一子序列，如果成功该方法返回true，否则返回false。public boolean matches()：matcher调用该方法判断input是否完全和regex匹配。public boolean lookingAt()：matcher调用该方法判断从input的开始位置是否有和regex匹配的子序列。public boolean find(int start) : matcher调用该方法判断input从参数start指定位置开始是否有和regex匹配的子序列 。public String replaceAll(String replacement) matcher调用该方法可以返回一个字符串该字符串是通过把input中与模式regex匹配的子字符串全部替换为参数replacement指定的字符串得到的.public String replaceFirst(String replacement) matcher调用该方法可以返回一个字符串，该字符串是通过把input中第1个与模式regex匹配的子字符串替换为参数replacement指定的字符串得到的,common,
769,:Knowledge,运算符综述,Java的表达式就是用运算符连接起来的符合Java规则的式子。运算符的优先级决定了表达式中运算执行的先后顺序。在编写程序时尽量使用括号（）运算符号来实现想要的运算次序，以免产生难以阅读或含糊不清的计算顺序。运算符的结合性决定了具有相同级别运算符的先后顺序 。 ,key,
770,:Knowledge,位运算符,&，|，^，~,key,
771,:Knowledge,不同区域的星期格式重载,如果想用特定地区的星期格式来表示日期中的星期，可以用format的重载方法： format (Locale locale格式化模式，日期列表);其中的参数locale是一个Locale类的实例，用于表示地域。Locale类的static常量都是Locale对象，其中US是表示美国的static常量。,common,
772,:Knowledge,算数运算符,加减运算符:  +，-乘、除和求余运算符： *    /      %,key,
773,:Knowledge,for语句与数组,语法格式如下：for(声明循环变量：数组的名字) { …… },key,
774,:Knowledge,JDBC,Java提供了专门用于操作数据库的API，即JDBC （Java DataBase Connection）。,common,
775,:Knowledge,Math类,Math类的常用类方法：public static long abs(double a)  返回a的绝对值。public static double max(double a，double b) 返回a、b的最大值。public static double min(double a，double b) 返回a、b的最小值。public static double random()  产生一个0到1之间的随机数（不包括0和1）。public static double pow(double a，double b) 返回a的b次幂。public static double sqrt(double a) 返回a的平方根。public static double log(double a)  返回a的对数。public static double sin(double a) 返回正弦值。public static double asin(double a)  返回反正弦值。,key,
