_start,_end,_type,name
2,1,Content_Of,知识点9.1
19,1,Content_Of,知识点9.2
20,19,Knowledge_Of,知识点9.2.1
52,19,Knowledge_Of,知识点9.2.2
171,0,ChapterOf,第四章
7,6,Knowledge_Of,知识点4.1.1
8,6,Knowledge_Of,知识点4.1.2
9,6,Knowledge_Of,知识点4.1.3
53,1,Content_Of,知识点9.3
54,53,Knowledge_Of,知识点9.3.1
55,53,Knowledge_Of,知识点9.3.2
4,3,Knowledge_Of,知识点4.2.1
12,3,Knowledge_Of,知识点4.2.4
15,5,Knowledge_Of,知识点4.3.1
16,5,Knowledge_Of,知识点4.3.2
18,5,Knowledge_Of,知识点4.3.4
14,3,Knowledge_Of,知识点4.2.6
13,3,Knowledge_Of,知识点4.2.5
11,3,Knowledge_Of,知识点4.2.3
10,3,Knowledge_Of,知识点4.2.2
17,5,Knowledge_Of,知识点4.3.3
56,53,Knowledge_Of,知识点9.3.1
57,1,Content_Of,知识点9.4
23,22,Knowledge_Of,知识点4.5.1
24,22,Knowledge_Of,知识点4.5.2
25,22,Knowledge_Of,知识点4.5.3
58,57,Knowledge_Of,知识点9.4.1
27,26,Knowledge_Of,知识点4.6.1
28,26,Knowledge_Of,知识点4.6.2
59,57,Knowledge_Of,知识点9.4.2
60,57,Knowledge_Of,知识点9.4.3
61,57,Knowledge_Of,知识点9.4.4
33,32,Knowledge_Of,知识点4.10.1
34,32,Knowledge_Of,知识点4.10.2
35,32,Knowledge_Of,知识点4.10.3
62,57,Knowledge_Of,知识点9.4.5
37,36,Knowledge_Of,知识点4.11.2
63,57,Knowledge_Of,知识点9.4.6
39,38,Knowledge_Of,知识点4.12.1
40,38,Knowledge_Of,知识点4.12.2
41,38,Knowledge_Of,知识点4.12.3
43,38,Knowledge_Of,知识点4.12.5
42,38,Knowledge_Of,知识点4.12.4
64,57,Knowledge_Of,知识点9.4.7
45,44,Knowledge_Of,知识点4.13.1
46,44,Knowledge_Of,知识点4.13.2
47,44,Knowledge_Of,知识点4.13.3
65,57,Knowledge_Of,知识点9.4.8
66,57,Knowledge_Of,知识点9.4.9
67,57,Knowledge_Of,知识点9.4.10
68,1,Content_Of,知识点9.5
69,1,Content_Of,知识点9.6
70,69,Knowledge_Of,知识点9.5.1
71,69,Knowledge_Of,知识点9.5.2
72,69,Knowledge_Of,知识点9.5.3
73,69,Knowledge_Of,知识点9.5.4
74,69,Knowledge_Of,知识点9.6.5
75,1,Content_Of,知识点9.7
76,75,Knowledge_Of,知识点9.7.1
77,75,Knowledge_Of,知识点9.7.2
78,1,Content_Of,知识点9.8
79,1,Content_Of,知识点9.9
80,1,Content_Of,知识点9.10
1,0,ChapterOf,第九章
3,171,Content_Of,知识点4.2
5,171,Content_Of,知识点4.3
6,171,Content_Of,知识点4.1
21,171,Content_Of,知识点4.4
22,171,Content_Of,知识点4.5
26,171,Content_Of,知识点4.6
29,171,Content_Of,知识点4.7
30,171,Content_Of,知识点4.8
31,171,Content_Of,知识点4.9
32,171,Content_Of,知识点4.10
36,171,Content_Of,知识点4.11
38,171,Content_Of,知识点4.12
44,171,Content_Of,知识点4.13
48,171,Content_Of,知识点4.14
49,171,Content_Of,知识点4.15
50,171,Content_Of,知识点4.16
51,171,Content_Of,知识点4.17
