_start,_end,_type,name
2,1,Content_Of,知识点9.1
19,1,Content_Of,知识点9.2
20,19,Knowledge_Of,知识点9.2.1
52,19,Knowledge_Of,知识点9.2.2
171,0,ChapterOf,第四章
7,6,Knowledge_Of,知识点4.1.1
8,6,Knowledge_Of,知识点4.1.2
9,6,Knowledge_Of,知识点4.1.3
53,1,Content_Of,知识点9.3
54,53,Knowledge_Of,知识点9.3.1
55,53,Knowledge_Of,知识点9.3.2
4,3,Knowledge_Of,知识点4.2.1
12,3,Knowledge_Of,知识点4.2.4
15,5,Knowledge_Of,知识点4.3.1
16,5,Knowledge_Of,知识点4.3.2
18,5,Knowledge_Of,知识点4.3.4
14,3,Knowledge_Of,知识点4.2.6
13,3,Knowledge_Of,知识点4.2.5
11,3,Knowledge_Of,知识点4.2.3
10,3,Knowledge_Of,知识点4.2.2
17,5,Knowledge_Of,知识点4.3.3
56,53,Knowledge_Of,知识点9.3.1
57,1,Content_Of,知识点9.4
23,22,Knowledge_Of,知识点4.5.1
24,22,Knowledge_Of,知识点4.5.2
25,22,Knowledge_Of,知识点4.5.3
58,57,Knowledge_Of,知识点9.4.1
27,26,Knowledge_Of,知识点4.6.1
28,26,Knowledge_Of,知识点4.6.2
59,57,Knowledge_Of,知识点9.4.2
60,57,Knowledge_Of,知识点9.4.3
61,57,Knowledge_Of,知识点9.4.4
33,32,Knowledge_Of,知识点4.10.1
34,32,Knowledge_Of,知识点4.10.2
35,32,Knowledge_Of,知识点4.10.3
62,57,Knowledge_Of,知识点9.4.5
37,36,Knowledge_Of,知识点4.11.2
63,57,Knowledge_Of,知识点9.4.6
39,38,Knowledge_Of,知识点4.12.1
40,38,Knowledge_Of,知识点4.12.2
41,38,Knowledge_Of,知识点4.12.3
43,38,Knowledge_Of,知识点4.12.5
42,38,Knowledge_Of,知识点4.12.4
64,57,Knowledge_Of,知识点9.4.7
45,44,Knowledge_Of,知识点4.13.1
46,44,Knowledge_Of,知识点4.13.2
47,44,Knowledge_Of,知识点4.13.3
65,57,Knowledge_Of,知识点9.4.8
66,57,Knowledge_Of,知识点9.4.9
67,57,Knowledge_Of,知识点9.4.10
68,1,Content_Of,知识点9.5
69,1,Content_Of,知识点9.6
70,69,Knowledge_Of,知识点9.5.1
71,69,Knowledge_Of,知识点9.5.2
72,69,Knowledge_Of,知识点9.5.3
73,69,Knowledge_Of,知识点9.5.4
74,69,Knowledge_Of,知识点9.6.5
75,1,Content_Of,知识点9.7
76,75,Knowledge_Of,知识点9.7.1
77,75,Knowledge_Of,知识点9.7.2
78,1,Content_Of,知识点9.8
79,1,Content_Of,知识点9.9
80,1,Content_Of,知识点9.10
1,0,ChapterOf,第九章
3,171,Content_Of,知识点4.2
5,171,Content_Of,知识点4.3
6,171,Content_Of,知识点4.1
21,171,Content_Of,知识点4.4
22,171,Content_Of,知识点4.5
26,171,Content_Of,知识点4.6
29,171,Content_Of,知识点4.7
30,171,Content_Of,知识点4.8
31,171,Content_Of,知识点4.9
32,171,Content_Of,知识点4.10
36,171,Content_Of,知识点4.11
38,171,Content_Of,知识点4.12
44,171,Content_Of,知识点4.13
48,171,Content_Of,知识点4.14
49,171,Content_Of,知识点4.15
50,171,Content_Of,知识点4.16
51,171,Content_Of,知识点4.17
203,210,Content_Of,知识点10.1
204,210,Content_Of,知识点10.2
207,210,Content_Of,知识点10.3
208,210,Content_Of,知识点10.4
209,210,Content_Of,知识点10.5
234,210,Content_Of,知识点10.6
235,210,Content_Of,知识点10.7
244,210,Content_Of,知识点10.8
245,210,Content_Of,知识点10.9
250,210,Content_Of,知识点10.10
263,210,Content_Of,知识点10.11
296,207,Knowledge_Of,知识点10.3.1
356,209,Knowledge_Of,知识点10.5.1
298,203,Knowledge_Of,知识点10.1.1
334,203,Knowledge_Of,知识点10.1.2
342,203,Knowledge_Of,知识点10.1.3
343,203,Knowledge_Of,知识点10.1.4
344,204,Knowledge_Of,知识点10.2.1
345,204,Knowledge_Of,知识点10.2.2
346,204,Knowledge_Of,知识点10.2.3
297,203,Knowledge_Of,知识点10.1.5
347,208,Knowledge_Of,知识点10.4.1
348,235,Knowledge_Of,知识点10.7.1
349,244,Knowledge_Of,知识点10.8.1
350,245,Knowledge_Of,知识点10.9.1
351,250,Knowledge_Of,知识点10.10.1
352,250,Knowledge_Of,知识点10.10.2
353,263,Knowledge_Of,知识点10.11.1
354,210,Content_Of,知识点10.12
355,354,Knowledge_Of,知识点10.12.1
357,234,Knowledge_Of,知识点10.6.1
205,200,ChapterOf,第五章
206,200,ChapterOf,第六章
210,200,ChapterOf,第十章
211,200,ChapterOf,第一章
201,200,ChapterOf,第二章
275,201,Content_Of,知识点2.6
212,211,Content_Of,知识点1.1
213,211,Content_Of,知识点1.2
214,211,Content_Of,知识点1.3
215,211,Content_Of,知识点1.4
216,211,Content_Of,知识点1.5
217,211,Content_Of,知识点1.6
249,201,Content_Of,知识点2.2
267,201,Content_Of,知识点2.5
276,201,Content_Of,知识点2.1
281,201,Content_Of,知识点2.3
282,201,Content_Of,知识点2.4
284,205,Content_Of,知识点5.1
285,205,Content_Of,知识点5.2
286,205,Content_Of,知识点5.3
287,205,Content_Of,知识点5.4
288,205,Content_Of,知识点5.5
289,205,Content_Of,知识点5.6
290,205,Content_Of,知识点5.7
291,205,Content_Of,知识点5.8
292,205,Content_Of,知识点5.9
293,205,Content_Of,知识点5.10
294,205,Content_Of,知识点5.11
218,212,Knowledge_Of,知识点1.1.1
219,212,Knowledge_Of,知识点1.1.2
220,212,Knowledge_Of,知识点1.1.3
221,213,Knowledge_Of,知识点1.2.1
222,213,Knowledge_Of,知识点1.2.2
223,214,Knowledge_Of,知识点1.3.1
224,214,Knowledge_Of,知识点1.3.2
225,214,Knowledge_Of,知识点1.3.3
226,214,Knowledge_Of,知识点1.3.4
227,214,Knowledge_Of,知识点1.3.5
228,214,Knowledge_Of,知识点1.3.6
229,215,Knowledge_Of,知识点1.4.1
230,215,Knowledge_Of,知识点1.4.2
232,215,Knowledge_Of,知识点1.4.3
233,215,Knowledge_Of,知识点1.4.4
236,216,Knowledge_Of,知识点1.5.1
237,216,Knowledge_Of,知识点1.5.2
238,216,Knowledge_Of,知识点1.5.3
239,216,Knowledge_Of,知识点1.5.4
240,216,Knowledge_Of,知识点1.5.5
241,217,Knowledge_Of,知识点1.6.1
242,217,Knowledge_Of,知识点1.6.2
243,217,Knowledge_Of,知识点1.6.3
246,276,Knowledge_Of,知识点2.1.2
